il_kodu,il_adi,plaka,bolge,nufus,yuzolcumu,nufus_yogunlugu,kentlesme_orani,net_goc_hizi,medyan_yas,yasli_bagimlilik_orani,kisi_basi_gsyh,issizlik_orani,istihdam_orani,kisi_basi_ihracat,kisi_basi_mevduat,girisimcilik_orani,yuksekogretim_mezun_orani,ortaogretim_okullaşma,ogretmen_basina_ogrenci,okur_yazar_orani,doktor_sayisi_10000,yatak_sayisi_10000,bebek_olum_hizi,yasam_beklentisi,internet_erisim_orani,arac_sayisi_1000,kisi_basi_elektrik,hava_kalitesi_indeksi,suc_orani,sege_endeksi,sege_kademe
1,Adana,01,Akdeniz,2274106,13844,164.3,78.5,-5.2,32.1,13.8,68542,14.2,43.8,1842,38500,6.2,16.8,89.2,16.2,96.8,22.4,32.1,8.9,77.2,82.4,198,2890,72,412,0.8234,2
2,Adıyaman,02,Güneydoğu Anadolu,635169,7572,83.9,62.4,-12.8,25.3,8.2,32156,11.8,38.2,245,12400,4.1,12.4,82.6,18.4,93.2,14.2,18.4,11.2,75.8,68.2,112,1650,58,156,0.2145,5
3,Afyonkarahisar,03,Ege,747555,14230,52.5,58.2,-4.8,35.8,16.2,48920,8.4,46.2,892,24600,5.8,14.2,86.4,15.8,96.4,18.6,28.4,7.8,77.8,74.6,156,2340,65,198,0.4521,3
4,Ağrı,04,Doğu Anadolu,510626,11376,44.9,48.2,-18.4,20.8,6.4,18420,15.2,32.4,42,5200,2.8,8.2,72.4,22.6,86.4,8.4,12.6,14.8,73.2,52.4,68,1120,48,86,0.0824,6
5,Amasya,05,Karadeniz,337800,5520,61.2,62.8,-8.2,38.4,18.4,52840,7.2,48.6,682,28400,6.4,15.8,88.2,14.6,97.2,20.2,26.8,6.8,78.4,76.8,168,2480,68,142,0.5124,3
6,Ankara,06,İç Anadolu,5782285,25632,225.6,93.2,8.4,34.2,12.4,98420,10.2,52.4,2456,86400,8.2,28.4,94.8,12.4,98.8,32.4,42.6,5.2,79.8,92.4,312,3650,82,524,1.8642,1
7,Antalya,07,Akdeniz,2688004,20177,133.2,72.8,18.6,35.4,14.2,78540,9.8,48.2,1245,52400,7.8,18.2,90.4,14.2,97.4,24.2,34.8,6.4,78.6,86.2,248,3120,76,386,1.2456,1
8,Artvin,08,Karadeniz,169543,7367,23.0,48.6,-12.4,40.2,20.8,48620,6.8,44.8,186,22800,5.2,14.6,84.6,16.2,96.8,16.4,22.4,7.2,78.2,72.4,142,2180,62,98,0.4286,4
9,Aydın,09,Ege,1134031,8007,141.6,58.4,2.4,38.2,17.8,62480,8.6,46.4,986,36200,6.8,15.4,88.6,15.2,97.2,19.8,28.6,7.4,78.2,78.4,186,2680,70,224,0.7245,2
10,Balıkesir,10,Marmara,1257590,14292,88.0,62.4,1.8,40.4,19.2,64820,7.8,48.2,1124,38600,6.4,15.8,88.4,14.8,97.4,20.4,30.2,6.8,78.4,80.2,198,2720,72,186,0.7856,2
11,Bilecik,11,Marmara,228673,4179,54.7,68.4,-2.4,36.8,15.8,72840,6.2,52.4,2846,42800,7.2,16.4,90.2,13.8,98.2,18.8,26.2,5.8,79.2,82.6,204,2920,74,124,0.8124,2
12,Bingöl,12,Doğu Anadolu,281768,8125,34.7,52.4,-14.6,24.2,7.8,28420,12.4,36.8,86,8400,3.4,10.2,76.4,20.4,90.2,10.6,14.8,12.4,74.6,58.4,86,1420,52,92,0.1524,5
13,Bitlis,13,Doğu Anadolu,353988,8413,42.1,54.2,-16.2,22.4,7.2,24680,13.8,34.2,62,7200,3.2,9.4,74.8,21.2,88.6,9.8,13.6,13.2,74.2,56.2,78,1280,50,88,0.1245,6
